,NYUAD Archives Reference,,Song Title,Artist,Composer,Year (estimate/range),Original Format,Side,Label,"Serial Numbers (Generally: Recording #, Disc #, other)",Genre,Collection ID,Image,Research Notes,Corrections made by Cristóbal. 
TRUE,AD-MC-035_ref2,2,Basamir Azzein—Part 1,A. M. Bin Berek,NA,ca. 1955-1965,78 rpm shellac disc,A,Mzuri,"AB.997, AM 499",Arebic,PP,Y,"Ahmed Mahfouz Bin Brek. ""Recorded by Assanand & Sons (Mombasa) LTD."" Hadhrami. “Uud, Violin &Tambourine.”","Genre, Notes, Serial no. "
TRUE,AD-MC-035_ref3,3,Basamir Azzein—Part 2,A. M. Bin Berek,NA,ca. 1955-1965,78 rpm shellac disc,B,Mzuri,"AB.998, AM 499",Arebic,PP,Y,"Ahmed Mahfouz Bin Brek. ""Recorded by Assanand & Sons (Mombasa) LTD."" Hadhrami. “Uud, Violin &Tambourine.”","Genre, Notes, Serial no. "
TRUE,AD-MC-035_ref4,4,Peni Langu,African City Band,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.978, EO.2136",Swahili,PP,Y,"""Magic Notes Trade Mark."" ""Made in England.""",Notes. Sides. 
TRUE,AD-MC-035_ref5,5,Sili Waklikwa Mesta,Adam Salim Trio,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.964, EO.2108","Swahili, Rumba",PP,Y,"""Magic Notes Trade Mark."" ""Made in England.""",Sides. Serial no. Song Spelling. 
TRUE,AD-MC-035_ref6,6,Huyu Mwana Makundisha,Aborosi & Party,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 19, AM 10",Masamba,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa."" ""Made in Germany."" “Guitar, Maracas & Castanets.”",Notes
TRUE,AD-MC-035_ref7,7,Ngiyangu Yedi,Aborosi & Party,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 20, AM 10",Masamba,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa."" ""Made in Germany."" “Guitar, Maracas & Castanets.”",Notes
TRUE,AD-MC-035_ref8,8,Teusi Wangu Mzuri,Adam Salim Trio,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.965, EO.2108",Swahili,PP,Y,"""Magic Notes Trade Mark."" ""Made in England.""",Sides. Serial no. Song Spelling. 
TRUE,AD-MC-035_ref9,9,Alipokuwa Safiriri,Adam Salim & Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1150, EO.2148",Swahili Dance Band,PP,Y,"""Magic Notes Trade Mark."" ""Made in England.""",Song Spelling. Notes. 
TRUE,AD-MC-035_ref10,10,Toto Zuri,Adam Salim & Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1151, EO.2148",Swahili Dance Band,PP,Y,"""Magic Notes Trade Mark."" ""Made in England.""",Song Spelling. Notes. 
TRUE,AD-MC-035_ref11,11,Jambo Sigara Baridi (Rumba),Adam Salim Trio,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.960, EO.2107","Swahili, Rumba",PP,Y,"""Magic Notes Trade Mark."" ""Made in England.""",Notes. Serial no. 
TRUE,AD-MC-035_ref13,13,Tulipokuwa Tukipendana,African City Band,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.979, EO.2136",Swahili,PP,Y,"""Magic Notes Trade Mark."" ""Made in England.""",Notes. Sides. 
TRUE,AD-MC-035_ref14,14,La Fuadi Part 1,Akida Bin Kheri,NA,ca. 1930,78 rpm shellac disc,A,Columbia,"W 63131, WE 48",Swahili,PP,Y,"Melody from Maalim Shaaban (Jamal Hafidh). “Tanganyika & Zanzibar Recording.” Part 1 of 2. ""Traditional Song.""",Composer. 
TRUE,AD-MC-035_ref15,15,La Fuadi Part 2,Akida Bin Kheri,NA,ca. 1930,78 rpm shellac disc,B,Columbia,"W 63132, WE 48",Swahili,PP,Y,"Melody from Maalim Shaaban (Jamal Hafidh). “Tanganyika & Zanzibar Recording.” Part 2 of 2. ""Traditional Song.""",Composer. 
TRUE,AD-MC-035_ref16,16,Anyi wa Khiari,Ali & Party,NA,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAF 25, MA. 13",Swahili Rumba,PP,Y,"""Traditional.""","Serial no., Composer. "
TRUE,AD-MC-035_ref17,17,Tangu Jana,Ali Abdulla,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1308, EO.501",Ki-Swahili,PP,Y,"""Magic Notes Trade Mark."" ""Made in England.""",Serial no. Notes.
TRUE,AD-MC-035_ref18,18,Sifaidi Mtwali,Aratibu Bocho Na Ngoma Ya Changani,NA,ca. 1930,78 rpm shellac disc,NA,Columbia,"W 63144, WE 38","Swahili, Native Dance Song",PP,Y,“Tanganyika and Zanzibar Recording.”,Composer. 
TRUE,AD-MC-035_ref19,19,Kodi Modaiwona Konde Ya Wazungu,Askari wa 2nd King’s African Rifles,NA,ca. 1930,78 rpm shellac disc,NA,Columbia,"W.63460, WE.36","March Song, Chinyanja ",PP,Y,“Tanganyika and Zanzibar Recording.”,Serial no. 
TRUE,AD-MC-035_ref20,20,Ininzatani Pasiko Nakunalisa,Askari wa 6th King’s African Rifles,NA,ca. 1930,78 rpm shellac disc,NA,Columbia,"W.63456, WE.36","March Song, Chinyanja ",PP,Y,"“Tanganyika and Zanzibar Recording.” ""Magic Notes Trademark.""",Serial no. 
TRUE,AD-MC-035_ref21,21,Chaupele Mpenzi,Asumani Bini Sumaili,NA,NA,78 rpm shellac disc,B,Gallotone,"XYZ.6166, GB .1336, RC.32",Swahili/Nguja,PP,Y,"“Town Dance Song, with Pango Zither” ""Made in England."" Another version, by Ally K. Sykes and the Dar es Salaam Swingers, recorded by Hugh Tracey in 1950 and featured on Colonial Dance Bands (SWP Records, 2006).",Serial no. 
TRUE,AD-MC-035_ref22,22,Sitaki kelele bibi nendazako,Asumani Bini Sumaili,NA,NA,78 rpm shellac disc,A,Gallotone,"XYZ.5634, GB.1336, RC 32",Swahili/Nguja,PP,Y,"“Town Dance Song, with Pango Zither” ""Made in England.""",Song spelling. Serial no. 
TRUE,AD-MC-035_ref23,23,Kheti Mukijuwa,Badi & His Orchestra,Traditional,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAF.81, M.A.41",Swahili Song,PP,Y,"Singer also known as: Mohamedali Badi, Mohamed Ali Badi, Mohamed Badi",New Entry!
TRUE,AD-MC-035_ref24,24,Umenidhalili,Badi & His Orchestra,Traditional,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAF.82, M.A.41",Swahili Song,PP,Y,"Singer also known as: Mohamedali Badi, Mohamed Ali Badi, Mohamed Badi",New Entry!
